Id,aforza__Active__c,Name,aforza__Description__c,aforza__Effective_From__c,aforza__Effective_To__c,aforza__Eligible_Sizes__c,aforza__Eligible_Types__c,aforza__Inheritable__c,aforza__Priority__c,aforza__Segmentation_Channel_Ecommerce__c,aforza__Segmentation_Channel_Mobile__c,aforza__Segmentation_Channel_Telesales__c,aforza__Segmentation_Profiles__c,aforza__Segmentation_Proximity__c,aforza__Segmentation_Proximity_Account__c,aforza__Segmentation_Rules__c,aforza__Segmentation_Rules_Formatted__c,aforza__Simulation_Percentage__c,aforza__Simulation_Total_Accounts__c,aforza__Simulation_Total_Eligible_Accounts__c,aforza__Target_Account__c,aforza__Target_Segment__c,aforza__Segmentation_Proximity_Account__r.Name,aforza__Target_Account__r.Name,aforza__Target_Segment__r.Name
a092z000000FNMPAA4,true,All Products,,,,,,false,,true,true,true,All,,,[],[],100,1226,1226,,a0x2z0000024uWSAAY,,,All DPs
a092z000000FJKKAA4,false,test,,,,,,false,,true,true,true,All,,,,,,,,,,,,
a092z000000GYWyAAO,true,Gold Stores,,,,,,false,,true,true,true,All,,,"[{""name"":""key account"",""key"":""PS-004"",""operator"":""eq"",""value"":""Gold Stores_general"",""type"":""Detail""}]","[{""key"":""PS-004"",""operator"":""eq"",""value"":""Gold Stores_general""}]",0.08,1230,1,,a0x2z000002Iv5XAAS,,,Gold Stores
a092z000000FXhXAAW,true,All England products,"Rough split so excludes all Sugar Free Irn-Bru, 250ml&330ml Irn-Bru multipacks, 500ml Rubicon RAW 4 packs.",,,,,false,1,true,true,true,All,,,[],[],85.09,1216,1035,,a0x2z0000029Ss6AAE,,,England DP's
a092z000000FXXKAA4,true,Scotland Assortment,This assortment is going to be available to all Scotland customer.,,,,,false,1,true,true,true,All,,,[],[],5.66,53,3,,a0x2z0000026treAAA,,,Scotland Customers
a092z000000FXYOAA4,true,Ian TEST 2,,,,,,false,5,true,true,true,All,,,[],[],4.17,72,3,,a0x2z0000026treAAA,,,Scotland Customers
a092z000000FXXUAA4,true,Marie Test,,,,,,false,,true,true,true,All,,,,,,,,,,,,
a092z000000FXhcAAG,true,All Scotland producs,"Rough split so excludes  DnB, KA , 330ml OMJ England.",,,,,false,,true,true,true,All,,,,,,,,,,,,
a092z000000FXXeAAO,true,Marie Test 2,,,,,,false,,true,true,true,All,,,[],[],5.77,52,3,,a0x2z0000026treAAA,,,Scotland Customers
a092z000000FZogAAG,true,Phils - segment assortment for all products,Used where the customer doesn't need their own assortment.  It contains all products.,,,,,false,,true,true,true,All,,,"[{""name"":""Phils - assortment attrbute"",""key"":""PS-003"",""operator"":""eq"",""value"":""all products"",""type"":""Choice""}]","[{""key"":""PS-003"",""operator"":""eq"",""value"":""all products""}]",0.17,1203,2,,a0x2z0000027rhqAAA,,,Phils - all products assortment segment
a092z000000FmrPAAS,true,Training Session - IRN-BRU Products for Scotland Accounts,Assortment to make AG Barr products available to Scotland Accounts,,,,,false,,true,true,true,All,,,[],[],0.41,1216,5,,a0x2z0000026treAAA,,,Scotland Customers
