Id,Name,aforza__Description__c,aforza__Segmentation_Channel_Ecommerce__c,aforza__Segmentation_Channel_Mobile__c,aforza__Segmentation_Channel_Telesales__c,aforza__Segmentation_Profiles__c,aforza__Segmentation_Proximity__c,aforza__Segmentation_Proximity_Account__c,aforza__Segmentation_Rules__c,aforza__Segmentation_Rules_Formatted__c,aforza__Simulation_Percentage__c,aforza__Simulation_Total_Accounts__c,aforza__Simulation_Total_Eligible_Accounts__c,aforza__Segmentation_Proximity_Account__r.Name
a0x2z000002Iv5cAAC,Baxter Storey,,true,true,true,All,,,,,,,,
a0x2z000002AEBZAA4,Training Session Segment,Training Session Segment,true,true,true,All,,,"[{""name"":""Training Session"",""key"":""TS-0002"",""operator"":""eq"",""value"":""true"",""type"":""Toggle""}]","[{""key"":""TS-0002"",""operator"":""eq"",""value"":""true""}]",0.16,1227,2,
a0x2z0000024uWSAAY,All DPs,,true,true,true,All,,,[],[],100,1226,1226,
a0x2z000002Iv5XAAS,Gold Stores,Used to identify all Gold Stores,true,true,true,All,,,"[{""name"":""key account"",""key"":""PS-004"",""operator"":""eq"",""value"":""Gold Stores_general"",""type"":""Detail""}]","[{""key"":""PS-004"",""operator"":""eq"",""value"":""Gold Stores_general""}]",0.08,1230,1,
a0x2z0000026treAAA,Scotland Customers,Segment to target Scotland customers.,true,true,true,All,,,"[{""name"":""Country"",""key"":""AA-0010"",""operator"":""eq"",""value"":""Scotland"",""type"":""Choice""}]","[{""key"":""AA-0010"",""operator"":""eq"",""value"":""Scotland""}]",0.41,1216,5,
a0x2z0000026tuMAAQ,England Customers,England Customers,true,true,true,All,,,"[{""name"":""Country"",""key"":""AA-0010"",""operator"":""eq"",""value"":""England"",""type"":""Choice""}]","[{""key"":""AA-0010"",""operator"":""eq"",""value"":""England""}]",86.2,1205,1039,
a0x2z0000027rhqAAA,Phils - all products assortment segment,,true,true,true,All,,,"[{""name"":""Phils - assortment attrbute"",""key"":""PS-003"",""operator"":""eq"",""value"":""all products"",""type"":""Choice""}]","[{""key"":""PS-003"",""operator"":""eq"",""value"":""all products""}]",0.24,1229,3,
a0x2z0000028YIoAAM,Direct Debit Segment,Segment to identify all customers whose primary payment method is Direct Debit.,true,true,true,All,,,"[{""name"":""Direct Debit"",""key"":""TS-0001"",""operator"":""eq"",""value"":""true"",""type"":""Toggle""}]","[{""key"":""TS-0001"",""operator"":""eq"",""value"":""true""}]",0.08,1229,1,
a0x2z0000029Ss6AAE,England DP's,All England DP's,true,true,true,All,,,"[{""name"":""Country"",""key"":""AA-0010"",""operator"":""eq"",""value"":""England"",""type"":""Choice""}]","[{""key"":""AA-0010"",""operator"":""eq"",""value"":""England""}]",84.46,1229,1038,
